Batch,ETH-2024-001
Date,2024-03-15
Machine,Probat P12
Coffee,Yirgacheffe Konga

Time,BT,ET,RoR
0:00,22.0,195.0,0
0:30,89.5,185.0,-15.2
1:00,98.2,180.5,-8.5
1:30,105.1,178.0,5.2
2:00,112.8,176.5,8.4
2:30,120.5,177.0,10.2
3:00,128.2,178.5,11.5
3:30,135.1,180.0,12.1
4:00,141.5,182.0,11.8
4:30,147.2,183.5,11.2
5:00,152.5,185.0,10.5
5:30,157.1,186.5,9.8
6:00,161.5,188.0,9.2
6:30,165.2,189.5,8.5
7:00,168.8,191.0,7.8
7:30,172.0,192.5,7.2
8:00,175.2,194.0,6.8
8:30,178.1,195.0,6.5
9:00,181.0,196.0,6.2
9:30,183.8,197.0,6.0
10:00,186.5,198.0,5.8
10:30,189.2,199.0,5.5
11:00,191.8,200.0,5.2
11:30,194.2,201.0,5.0
12:00,196.5,201.5,4.8
12:30,198.5,202.0,4.5
13:00,200.2,202.5,4.2
13:30,201.8,203.0,3.8
14:00,203.2,203.5,3.5
