Batch,ETH-2024-002
Date,2024-03-18
Machine,Probat P12
Coffee,Yirgacheffe Konga

Time,BT,ET,RoR
0:00,22.0,210.0,0
0:30,95.0,198.0,-12.0
1:00,108.5,192.0,8.0
1:30,118.2,190.0,12.5
2:00,128.1,190.5,14.2
2:30,137.8,192.0,15.1
3:00,147.0,194.0,14.5
3:30,155.2,196.0,13.8
4:00,162.5,198.0,12.5
4:30,169.0,199.5,11.2
5:00,174.8,201.0,10.5
5:30,180.0,202.0,9.8
6:00,184.5,203.0,9.0
6:30,188.5,203.5,8.2
7:00,192.0,204.0,7.5
7:30,195.2,204.5,6.8
8:00,198.0,205.0,6.2
8:30,200.5,205.0,5.5
9:00,202.5,205.5,4.8
9:30,204.2,206.0,4.2
10:00,205.5,206.0,3.5
10:30,206.8,206.0,2.8
11:00,208.0,206.0,2.5
